sample,colDate,plot,stratum,regen_age,numPols,polGroup,polSpecies,polGenus,ASV,plantFamily,plantGenus,relAbund,weight,weight_100,weight_1000,weight_10000
BAU_0342,17/10/2023,OG47,Understory,NA,2,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Baccharis_sp._Pennington_1090,Asteraceae,Baccharis,0.24369376,2,24,244,2437
BAU_0343,17/10/2023,OG47,Canopy,NA,1,Apidae_Euglossini,Euglossa_townsendi,Euglossa,Benzingia_hirtzii,Orchidaceae,Benzingia,0.238874172,2,24,239,2389
BAU_0342,17/10/2023,OG47,Understory,NA,2,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Bidens_pilosa,Asteraceae,Bidens,0.1733294,2,17,173,1733
UD22_1261,7/5/2023,OG49,Canopy,NA,1,Apidae_Euglossini,Euglossa_imperialis,Euglossa,Bidens_pilosa,Asteraceae,Bidens,0.232472325,2,23,232,2325
BAU_0362,4/11/2023,CA60,Understory,0,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Bignonia_binata,Bignoniaceae,Bignonia,0.117269921,1,12,117,1173
UD22_1247,15/04/2023,OG46,Understory,NA,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Bignonia_binata,Bignoniaceae,Bignonia,0.101763908,1,10,102,1018
UD22_1259,5/5/2023,OG52,Canopy,NA,1,Apidae_Euglossini,Euglossa_laevicincta,Euglossa,Bignonia_binata,Bignoniaceae,Bignonia,0.566158781,6,57,566,5662
UD22_0949,16/03/2023,OG39,Understory,NA,1,Apidae_Euglossini,Euglossa_allosticta,Euglossa,Bignoniaceae_spc,Bignoniaceae,Bignoniaceae spc,0.497032258,5,50,497,4970
UD22_1234,15/04/2023,OG45,Understory,NA,1,Apidae_Euglossini,Euglossa_dodsoni,Euglossa,Bignoniaceae_spc,Bignoniaceae,Bignoniaceae spc,0.191280319,2,19,191,1913
BAU_0367,17/11/2023,PR20,Understory,3,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Bignoniaceae_spc,Bignoniaceae,Bignoniaceae spc,0.136790888,1,14,137,1368
UD22_0936,12/3/2023,PR26,Understory,27,2,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Bignoniaceae_spc,Bignoniaceae,Bignoniaceae spc,0.105702228,1,11,106,1057
UD22_1266,2/6/2023,CR04,Understory,20,1,Apidae_Euglossini,Euglossa_imperialis,Euglossa,Blakea_subconnata,Melastomataceae,Blakea,0.15008415,2,15,150,1501
UD22_1206,3/6/2023,OG38,Understory,NA,1,Apidae_Euglossini,Eulaema_meriana,Eulaema,Blakea_subconnata,Melastomataceae,Blakea,0.103559022,1,10,104,1036
UD22_1260,5/5/2023,OG52,Canopy,NA,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Blakea_subconnata,Melastomataceae,Blakea,0.23960739,2,24,240,2396
UD22_1260,5/5/2023,OG52,Canopy,NA,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Calathea_lutea,Marantaceae,Calathea,0.128752887,1,13,129,1288
BAU_0359,4/11/2023,PA56,Understory,0,1,Apidae_Euglossini,Eulaema_meriana,Eulaema,Canavalia_oxyphylla,Fabaceae,Canavalia,0.251999624,3,25,252,2520
UD22_0932,12/3/2023,PR26,Understory,27,1,Apidae_Euglossini,Eulaema_cingulata,Eulaema,Caryophyllaceae_spc,Caryophyllaceae,Caryophyllaceae spc,0.106949236,1,11,107,1069
UD22_1250,21/05/2023,OG41,Canopy,NA,1,Apidae_Euglossini,Eulaema_cingulata,Eulaema,Catasetum_expansum,Orchidaceae,Catasetum,0.209782407,2,21,210,2098
UD22_1261,7/5/2023,OG49,Canopy,NA,1,Apidae_Euglossini,Euglossa_imperialis,Euglossa,Cavendishia_grandifolia,Ericaceae,Cavendishia,0.261531365,3,26,262,2615
UD22_1299,3/6/2023,OG41,Understory,NA,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Cecropia_garciae,Urticaceae,Cecropia,0.337917335,3,34,338,3379
UD22_1299,3/6/2023,OG41,Understory,NA,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Cecropia_insignis,Urticaceae,Cecropia,0.114829246,1,11,115,1148
UD22_1240,15/04/2023,OG45,Understory,NA,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Cestrum_schlechtendalii,Solanaceae,Cestrum,0.130674332,1,13,131,1307
BAU_0337,20/04/2023,PR30,Understory,14,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Cestrum_schlechtendalii,Solanaceae,Cestrum,0.264416197,3,26,264,2644
UD22_1197,17/03/2023,CA63,Understory,0,1,Apidae_Euglossini,Eulaema_cingulata,Eulaema,Chromolaena_horminoides,Asteraceae,Chromolaena,0.186228482,2,19,186,1862
UD22_1200,15/04/2023,CR11,Understory,22,1,Apidae_Euglossini,Eufriesea_chrysopyga,Eufriesea,Chromolaena_horminoides,Asteraceae,Chromolaena,0.119827586,1,12,120,1198
UD22_1250,21/05/2023,OG41,Canopy,NA,1,Apidae_Euglossini,Eulaema_cingulata,Eulaema,Chromolaena_horminoides,Asteraceae,Chromolaena,0.159196578,2,16,159,1592
UD22_1197,17/03/2023,CA63,Understory,0,1,Apidae_Euglossini,Eulaema_cingulata,Eulaema,Chromolaena_laevigata,Asteraceae,Chromolaena,0.212050078,2,21,212,2121
UD22_1260,5/5/2023,OG52,Canopy,NA,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Clusia_rigida,Clusiaceae,Clusia,0.151847575,2,15,152,1518
BAU_0351,25/10/2023,CR18,Understory,9,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Coryanthes_elegantium,Orchidaceae,Coryanthes,0.582029388,6,58,582,5820
UD22_0949,16/03/2023,OG39,Understory,NA,1,Apidae_Euglossini,Euglossa_allosticta,Euglossa,Coryanthes_elegantium,Orchidaceae,Coryanthes,0.330064516,3,33,330,3301
UD22_1215,26/03/2023,OG41,Understory,NA,9,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Coryanthes_elegantium,Orchidaceae,Coryanthes,0.126577564,1,13,127,1266
UD22_1257,5/5/2023,OG52,Canopy,NA,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Coryanthes_elegantium,Orchidaceae,Coryanthes,0.626596937,6,63,627,6266
BAU_0372,25/11/2023,PR27,Understory,26,3,Apidae_Euglossini,Eulaema_meriana,Eulaema,Coryanthes_elegantium,Orchidaceae,Coryanthes,0.343830099,3,34,344,3438
UD22_0939,16/03/2023,OG39,Understory,NA,2,Apidae_Euglossini,Euglossa_laevicincta,Euglossa,Coryanthes_macrantha,Orchidaceae,Coryanthes,0.678450772,7,68,678,6785
UD22_1248,15/04/2023,OG46,Understory,NA,1,Apidae_Euglossini,Euglossa_imperialis,Euglossa,Coryanthes_macrantha,Orchidaceae,Coryanthes,0.854159216,9,85,854,8542
BAU_0351,25/10/2023,CR18,Understory,9,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Coryanthes_spc,Orchidaceae,Coryanthes,0.144207013,1,14,144,1442
UD22_1183,31/03/2023,PA55,Understory,0,3,Apidae_Euglossini,Eulaema_cingulata,Eulaema,Coussapoa_villosa,Urticaceae,Coussapoa,0.443213296,4,44,443,4432
BAU_0337,20/04/2023,PR30,Understory,14,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Dacryodes_cupularis,Burseraceae,Dacryodes,0.103123159,1,10,103,1031
UD22_1223,29/03/2023,CR13,Understory,1,1,Apidae_Euglossini,Eulaema_cingulata,Eulaema,Dressleria_sp._BGM_11/1194,Orchidaceae,Dressleria,0.793974302,8,79,794,7940
UD22_1264,11/5/2023,CR14,Canopy,37,2,Apidae_Euglossini,Eulaema_cingulata,Eulaema,Dressleria_sp._BGM_11/1194,Orchidaceae,Dressleria,0.490989948,5,49,491,4910
UD22_1205,3/6/2023,OG38,Understory,NA,2,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Dressleria_sp._BGM_11/1194,Orchidaceae,Dressleria,0.255661863,3,26,256,2557
UD22_1263,7/5/2023,OG49,Canopy,NA,2,Apidae_Euglossini,Eulaema_cingulata,Eulaema,Dressleria_sp._BGM_11/1194,Orchidaceae,Dressleria,0.616776316,6,62,617,6168
UD22_1188,23/04/2023,PR31,Understory,15,2,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Dressleria_sp._BGM_11/1194,Orchidaceae,Dressleria,0.468208092,5,47,468,4682
UD22_1253,29/03/2023,PR33,Understory,1,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Dressleria_sp._BGM_11/1194,Orchidaceae,Dressleria,0.408108266,4,41,408,4081
BAU_0368,17/11/2023,CR01,Understory,5,1,Apidae_Euglossini,Euglossa_gorgonensis,Euglossa,Drymonia_aciculata,Gesneriaceae,Drymonia,0.778059569,8,78,778,7781
UD22_0815,19/11/2022,OG46,Understory,NA,1,Apidae_Euglossini,Euglossa_gorgonensis,Euglossa,Drymonia_aciculata,Gesneriaceae,Drymonia,0.231692241,2,23,232,2317
BAU_0332,7/10/2023,PR24,Understory,20,1,Apidae_Euglossini,Euglossa_gorgonensis,Euglossa,Drymonia_aciculata,Gesneriaceae,Drymonia,0.169808381,2,17,170,1698
UD22_1231,14/03/2023,CR06,Understory,32,1,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Drymonia_alloplectoides,Gesneriaceae,Drymonia,0.887692684,9,89,888,8877
UD22_1527,25/11/2023,CR07,Understory,22,6,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Drymonia_alloplectoides,Gesneriaceae,Drymonia,0.310729023,3,31,311,3107
UD22_1218,29/03/2023,CR13,Understory,1,1,Apidae_Euglossini,Eulaema_flavescens,Eulaema,Drymonia_alloplectoides,Gesneriaceae,Drymonia,0.411434678,4,41,411,4114
UD22_0940,16/03/2023,OG39,Understory,NA,1,Apidae_Euglossini,Euglossa_imperialis,Euglossa,Drymonia_alloplectoides,Gesneriaceae,Drymonia,0.817497565,8,82,817,8175
UD22_0937,16/03/2023,OG39,Understory,NA,1,Apidae_Euglossini,Eulaema_meriana,Eulaema,Drymonia_alloplectoides,Gesneriaceae,Drymonia,0.124888823,1,12,125,1249
UD22_1235,15/04/2023,OG45,Understory,NA,1,Apidae_Euglossini,Euglossa_heterosticta,Euglossa,Drymonia_alloplectoides,Gesneriaceae,Drymonia,0.239907728,2,24,240,2399
UD22_0933,12/3/2023,PR26,Understory,27,1,Apidae_Euglossini,Eulaema_meriana,Eulaema,Drymonia_alloplectoides,Gesneriaceae,Drymonia,0.689843683,7,69,690,6898
BAU_0372,25/11/2023,PR27,Understory,26,3,Apidae_Euglossini,Eulaema_meriana,Eulaema,Drymonia_alloplectoides,Gesneriaceae,Drymonia,0.511473209,5,51,511,5115
BAU_0332,7/10/2023,PR24,Understory,20,1,Apidae_Euglossini,Euglossa_gorgonensis,Euglossa,Drymonia_macrophylla,Gesneriaceae,Drymonia,0.179778782,2,18,180,1798
UD22_1235,15/04/2023,OG45,Understory,NA,1,Apidae_Euglossini,Euglossa_heterosticta,Euglossa,Drymonia_serrulata,Gesneriaceae,Drymonia,0.104190696,1,10,104,1042
BAU_0334,20/04/2023,PR29,Understory,5,2,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Drymonia_serrulata,Gesneriaceae,Drymonia,0.134120805,1,13,134,1341
UD22_1266,2/6/2023,CR04,Understory,20,1,Apidae_Euglossini,Euglossa_imperialis,Euglossa,Exarata_chocoensis,Schlegeliaceae,Exarata,0.220770221,2,22,221,2208
UD22_1206,3/6/2023,OG38,Understory,NA,1,Apidae_Euglossini,Eulaema_meriana,Eulaema,Exarata_chocoensis,Schlegeliaceae,Exarata,0.194926919,2,19,195,1949
UD22_1213,26/03/2023,OG41,Understory,NA,1,Apidae_Euglossini,Eufriesea_chrysopyga,Eufriesea,Exarata_chocoensis,Schlegeliaceae,Exarata,0.379814077,4,38,380,3798
UD22_1215,26/03/2023,OG41,Understory,NA,9,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Exarata_chocoensis,Schlegeliaceae,Exarata,0.273016924,3,27,273,2730
UD22_1193,7/5/2023,OG49,Understory,NA,1,Apidae_Euglossini,Euglossa_deceptrix,Euglossa,Exarata_chocoensis,Schlegeliaceae,Exarata,0.212073805,2,21,212,2121
UD22_1191,7/5/2023,OG49,Understory,NA,3,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Exarata_chocoensis,Schlegeliaceae,Exarata,0.151185505,2,15,151,1512
BAU_0367,17/11/2023,PR20,Understory,3,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Exarata_chocoensis,Schlegeliaceae,Exarata,0.784437318,8,78,784,7844
BAU_0333,7/10/2023,PR24,Understory,20,1,Apidae_Euglossini,Euglossa_hansoni,Euglossa,Exarata_chocoensis,Schlegeliaceae,Exarata,0.125059467,1,13,125,1251
BAU_0331,7/10/2023,PR24,Understory,20,7,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Exarata_chocoensis,Schlegeliaceae,Exarata,0.465483801,5,47,465,4655
UD22_1534,28/11/2023,OG28,Understory,NA,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Exarata_chocoensis,Schlegeliaceae,Exarata,0.588235294,6,59,588,5882
UD22_1217,9/5/2023,PR36,Understory,9,1,Apidae_Euglossini,Euglossa_allosticta,Euglossa,Exarata_chocoensis,Schlegeliaceae,Exarata,0.215840269,2,22,216,2158
UD22_1197,17/03/2023,CA63,Understory,0,1,Apidae_Euglossini,Eulaema_cingulata,Eulaema,Fleischmannia_pycnocephala,Asteraceae,Fleischmannia,0.139280125,1,14,139,1393
BAU_0364,7/11/2023,CA61,Understory,0,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.208692247,2,21,209,2087
UD22_1199,17/03/2023,CA63,Understory,0,2,Apidae_Euglossini,Exaerete_smaragdina,Exaerete,Gongora_armeniaca,Orchidaceae,Gongora,0.503490401,5,50,503,5035
BAU_0363,4/11/2023,CR03,Understory,4,2,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.223542415,2,22,224,2235
UD22_1184,4/4/2023,CR05,Understory,11,1,Apidae_Euglossini,Exaerete_smaragdina,Exaerete,Gongora_armeniaca,Orchidaceae,Gongora,0.473342605,5,47,473,4733
UD22_1232,14/03/2023,CR06,Understory,32,1,Apidae_Euglossini,Eufriesea_chrysopyga,Eufriesea,Gongora_armeniaca,Orchidaceae,Gongora,0.418635756,4,42,419,4186
UD22_1230,14/03/2023,CR06,Understory,32,2,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.347549909,3,35,348,3475
BAU_0376,25/11/2023,CR08,Understory,26,2,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.188497653,2,19,188,1885
UD22_1226,20/04/2023,CR09,Understory,5,2,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.325319451,3,33,325,3253
UD22_1224,20/04/2023,CR09,Understory,5,4,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.12183474,1,12,122,1218
UD22_1227,20/04/2023,CR09,Understory,5,1,Apidae_Euglossini,Exaerete_smaragdina,Exaerete,Gongora_armeniaca,Orchidaceae,Gongora,0.631446541,6,63,631,6314
UD22_1222,29/03/2023,CR13,Understory,1,1,Apidae_Euglossini,Eufriesea_chrysopyga,Eufriesea,Gongora_armeniaca,Orchidaceae,Gongora,0.448263516,4,45,448,4483
UD22_1220,29/03/2023,CR13,Understory,1,1,Apidae_Euglossini,Exaerete_smaragdina,Exaerete,Gongora_armeniaca,Orchidaceae,Gongora,0.429839704,4,43,430,4298
UD22_1204,11/5/2023,CR14,Understory,37,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.396746623,4,40,397,3967
BAU_0369,18/11/2023,OG37,Canopy,NA,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.284954497,3,28,285,2850
UD22_1265,3/6/2023,OG38,Canopy,NA,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.386972256,4,39,387,3870
UD22_1205,3/6/2023,OG38,Understory,NA,2,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.312946591,3,31,313,3129
UD22_0948,16/03/2023,OG39,Understory,NA,1,Apidae_Euglossini,Eufriesea_chrysopyga,Eufriesea,Gongora_armeniaca,Orchidaceae,Gongora,0.749121574,7,75,749,7491
UD22_0947,16/03/2023,OG39,Understory,NA,1,Apidae_Euglossini,Eufriesea_chrysopyga,Eufriesea,Gongora_armeniaca,Orchidaceae,Gongora,0.657728707,7,66,658,6577
UD22_0945,16/03/2023,OG39,Understory,NA,1,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.642980936,6,64,643,6430
UD22_0938,16/03/2023,OG39,Understory,NA,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.738859607,7,74,739,7389
UD22_1213,26/03/2023,OG41,Understory,NA,1,Apidae_Euglossini,Eufriesea_chrysopyga,Eufriesea,Gongora_armeniaca,Orchidaceae,Gongora,0.17065073,2,17,171,1707
UD22_1214,26/03/2023,OG41,Understory,NA,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.419450192,4,42,419,4195
UD22_1528,28/11/2023,OG43,Understory,NA,3,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.278943279,3,28,279,2789
UD22_1532,28/11/2023,OG43,Understory,NA,1,Apidae_Euglossini,Euglossa_dodsoni,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.262203024,3,26,262,2622
UD22_1529,28/11/2023,OG43,Understory,NA,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.218058384,2,22,218,2181
UD22_1533,28/11/2023,OG43,Canopy,NA,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.288187373,3,29,288,2882
UD22_1237,15/04/2023,OG45,Understory,NA,6,Apidae_Euglossini,Eufriesea_chrysopyga,Eufriesea,Gongora_armeniaca,Orchidaceae,Gongora,0.30839265,3,31,308,3084
UD22_1238,15/04/2023,OG45,Understory,NA,1,Apidae_Euglossini,Eufriesea_lucida,Eufriesea,Gongora_armeniaca,Orchidaceae,Gongora,0.26478376,3,26,265,2648
UD22_1233,15/04/2023,OG45,Understory,NA,5,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.109671993,1,11,110,1097
UD22_1245,15/04/2023,OG46,Understory,NA,2,Apidae_Euglossini,Eufriesea_chrysopyga,Eufriesea,Gongora_armeniaca,Orchidaceae,Gongora,0.422164726,4,42,422,4222
UD22_1244,15/04/2023,OG46,Understory,NA,1,Apidae_Euglossini,Eufriesea_lucida,Eufriesea,Gongora_armeniaca,Orchidaceae,Gongora,0.429334083,4,43,429,4293
BAU_0355,27/10/2023,OG48,Understory,NA,1,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.18802266,2,19,188,1880
BAU_0353,27/10/2023,OG50,Understory,NA,1,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.226213326,2,23,226,2262
BAU_0352,27/10/2023,OG50,Canopy,NA,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.264806101,3,26,265,2648
BAU_0350,25/10/2023,PA58,Understory,0,3,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.166954519,2,17,167,1670
UD22_0934,12/3/2023,PR26,Understory,27,1,Apidae_Euglossini,Eufriesea_chrysopyga,Eufriesea,Gongora_armeniaca,Orchidaceae,Gongora,0.394947628,4,39,395,3949
BAU_0373,25/11/2023,PR27,Understory,26,2,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.199242424,2,20,199,1992
BAU_0374,25/11/2023,PR27,Understory,26,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.179724722,2,18,180,1797
UD22_1534,28/11/2023,OG28,Understory,NA,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.114643304,1,11,115,1146
BAU_0335,20/04/2023,PR30,Understory,14,1,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.226076394,2,23,226,2261
UD22_1189,23/04/2023,PR31,Understory,15,1,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Gongora_armeniaca,Orchidaceae,Gongora,0.423300971,4,42,423,4233
UD22_1187,23/04/2023,PR31,Understory,15,2,Apidae_Euglossini,Exaerete_smaragdina,Exaerete,Gongora_armeniaca,Orchidaceae,Gongora,0.46023629,5,46,460,4602
BAU_0364,7/11/2023,CA61,Understory,0,1,Apidae_Euglossini,Euglossa_tridentata,Euglossa,Gongora_gratulabunda,Orchidaceae,Gongora,0.298355521,3,30,298,2984
