,Plot_ID,individual_ID,species,comment,trait,value,unit,uncertainty,trait_ID,value_numeric,PREX,Matrix,Latitude,Longitude,Elevation,Treatment,Treatment2,Regeneration_year,RegTime,Legacy
22,CA59,SP04-ARL_230413_CA59_0190-p0949,Theobroma_cacao,,availability,CAFL,,,SP04-ARL_230413_CA59_0190-p0949-T23741,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
23,CA59,SP04-ARL_230413_CA59_0190-p1014,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1014-T22276,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
24,CA59,SP04-ARL_230413_CA59_0190-p1065,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1065-T19267,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
25,CA59,SP04-ARL_230413_CA59_0190-p1052,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1052-T19254,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
26,CA59,SP04-ARL_230413_CA59_0190-p1053,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1053-T19255,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
27,CA59,SP04-ARL_230413_CA59_0190-p1054,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1054-T19256,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
28,CA59,SP04-ARL_230413_CA59_0190-p1055,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1055-T19257,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
29,CA59,SP04-ARL_230413_CA59_0190-p1057,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1057-T19259,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
30,CA59,SP04-ARL_230413_CA59_0190-p1058,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1058-T19260,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
31,CA59,SP04-ARL_230413_CA59_0190-p1034,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1034-T19236,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
32,CA59,SP04-ARL_230413_CA59_0190-p1010,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1010-T22272,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
33,CA59,SP04-ARL_230413_CA59_0190-p1016,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1016-T22278,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
34,CA59,SP04-ARL_230413_CA59_0190-p0948,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0948-T22210,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
35,CA59,SP04-ARL_230413_CA59_0190-p1013,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1013-T22275,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
36,CA59,SP04-ARL_230413_CA59_0190-p0950,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0950-T22212,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
37,CA59,SP04-ARL_230413_CA59_0190-p1015,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1015-T22277,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
38,CA59,SP04-ARL_230413_CA59_0190-p0961,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0961-T22223,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
39,CA59,SP04-ARL_230413_CA59_0190-p0962,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0962-T22224,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
40,CA59,SP04-ARL_230413_CA59_0190-p0963,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0963-T22225,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
41,CA59,SP04-ARL_230413_CA59_0190-p0964,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0964-T22226,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
42,CA59,SP04-ARL_230413_CA59_0190-p0965,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0965-T22227,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
43,CA59,SP04-ARL_230413_CA59_0190-p0966,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0966-T22228,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
44,CA59,SP04-ARL_230413_CA59_0190-p1009,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1009-T22271,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
45,CA59,SP04-ARL_230413_CA59_0190-p1072,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1072-T19274,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
46,CA59,SP04-ARL_230413_CA59_0190-p1035,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1035-T19237,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
47,CA59,SP04-ARL_230413_CA59_0190-p1011,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1011-T22273,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
48,CA59,SP04-ARL_230413_CA59_0190-p0949,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0949-T22211,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
49,CA59,SP04-ARL_230413_CA59_0190-p1076,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1076-T19278,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
50,CA59,SP04-ARL_230413_CA59_0190-p1064,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1064-T19266,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
51,CA59,SP04-ARL_230413_CA59_0190-p1078,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1078-T19280,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
52,CA59,SP04-ARL_230413_CA59_0190-p1079,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1079-T19281,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
53,CA59,SP04-ARL_230413_CA59_0190-p1017,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1017-T22279,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
54,CA59,SP04-ARL_230413_CA59_0190-p1018,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1018-T22280,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
55,CA59,SP04-ARL_230413_CA59_0190-p1019,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1019-T22281,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
56,CA59,SP04-ARL_230413_CA59_0190-p1020,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1020-T22282,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
57,CA59,SP04-ARL_230413_CA59_0190-p1071,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1071-T19273,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
58,CA59,SP04-ARL_230413_CA59_0190-p0359,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p0359-T18561,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
59,CA59,SP04-ARL_230413_CA59_0190-p1073,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1073-T19275,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
60,CA59,SP04-ARL_230413_CA59_0190-p1024,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1024-T22286,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
61,CA59,SP04-ARL_230413_CA59_0190-p1012,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1012-T22274,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
62,CA59,SP04-ARL_230413_CA59_0190-p1026,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1026-T22288,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
63,CA59,SP04-ARL_230413_CA59_0190-p1077,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1077-T19279,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
64,CA59,SP04-ARL_230413_CA59_0190-p1091,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1091-T19293,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
65,CA59,SP04-ARL_230413_CA59_0190-p1092,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1092-T19294,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
66,CA59,SP04-ARL_230413_CA59_0190-p1093,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1093-T19295,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
67,CA59,SP04-ARL_230413_CA59_0190-p1094,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1094-T19296,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
68,CA59,SP04-ARL_230413_CA59_0190-p0951,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0951-T22213,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
69,CA59,SP04-ARL_230413_CA59_0190-p1033,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1033-T22295,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
70,CA59,SP04-ARL_230413_CA59_0190-p1034,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1034-T22296,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
71,CA59,SP04-ARL_230413_CA59_0190-p1059,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1059-T19261,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
72,CA59,SP04-ARL_230413_CA59_0190-p1060,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1060-T19262,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
73,CA59,SP04-ARL_230413_CA59_0190-p1061,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1061-T19263,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
74,CA59,SP04-ARL_230413_CA59_0190-p1025,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1025-T22287,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
75,CA59,SP04-ARL_230413_CA59_0190-p1063,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1063-T19265,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
76,CA59,SP04-ARL_230413_CA59_0190-p1090,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1090-T19292,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
77,CA59,SP04-ARL_230413_CA59_0190-p1000,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1000-T22262,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
78,CA59,SP04-ARL_230413_CA59_0190-p1001,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1001-T22263,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
79,CA59,SP04-ARL_230413_CA59_0190-p1002,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1002-T22264,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
80,CA59,SP04-ARL_230413_CA59_0190-p1003,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1003-T22265,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
81,CA59,SP04-ARL_230413_CA59_0190-p1004,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1004-T22266,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
82,CA59,SP04-ARL_230413_CA59_0190-p1027,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1027-T19229,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
83,CA59,SP04-ARL_230413_CA59_0190-p1028,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1028-T19230,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
84,CA59,SP04-ARL_230413_CA59_0190-p1029,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1029-T19231,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
85,CA59,SP04-ARL_230413_CA59_0190-p1030,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1030-T19232,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
86,CA59,SP04-ARL_230413_CA59_0190-p1031,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1031-T19233,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
87,CA59,SP04-ARL_230413_CA59_0190-p0959,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0959-T20691,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
88,CA59,SP04-ARL_230413_CA59_0190-p0960,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0960-T20692,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
89,CA59,SP04-ARL_230413_CA59_0190-p0961,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0961-T20693,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
90,CA59,SP04-ARL_230413_CA59_0190-p0962,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0962-T20694,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
91,CA59,SP04-ARL_230413_CA59_0190-p0963,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0963-T20695,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
92,CA59,SP04-ARL_230413_CA59_0190-p0964,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0964-T20696,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
93,CA59,SP04-ARL_230413_CA59_0190-p1080,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1080-T19282,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
94,CA59,SP04-ARL_230413_CA59_0190-p1081,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1081-T19283,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
95,CA59,SP04-ARL_230413_CA59_0190-p1082,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1082-T19284,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
96,CA59,SP04-ARL_230413_CA59_0190-p1083,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1083-T19285,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
97,CA59,SP04-ARL_230413_CA59_0190-p1021,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1021-T22283,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
98,CA59,SP04-ARL_230413_CA59_0190-p1022,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1022-T22284,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
99,CA59,SP04-ARL_230413_CA59_0190-p1023,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1023-T22285,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
100,CA59,SP04-ARL_230413_CA59_0190-p1087,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1087-T19289,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
101,CA59,SP04-ARL_230413_CA59_0190-p1088,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1088-T19290,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
102,CA59,SP04-ARL_230413_CA59_0190-p1089,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1089-T19291,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
103,CA59,SP04-ARL_230413_CA59_0190-p1048,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1048-T19250,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
104,CA59,SP04-ARL_230413_CA59_0190-p1049,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1049-T19251,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
105,CA59,SP04-ARL_230413_CA59_0190-p1050,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1050-T19252,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
106,CA59,SP04-ARL_230413_CA59_0190-p1051,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1051-T19253,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
107,CA59,SP04-ARL_230413_CA59_0190-p0979,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0979-T20711,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
108,CA59,SP04-ARL_230413_CA59_0190-p0980,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0980-T20712,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
109,CA59,SP04-ARL_230413_CA59_0190-p0952,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0952-T22214,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
110,CA59,SP04-ARL_230413_CA59_0190-p0953,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0953-T22215,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
111,CA59,SP04-ARL_230413_CA59_0190-p1035,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1035-T22297,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
112,CA59,SP04-ARL_230413_CA59_0190-p1036,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1036-T22298,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
113,CA59,SP04-ARL_230413_CA59_0190-p1037,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1037-T22299,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
114,CA59,SP04-ARL_230413_CA59_0190-p1038,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1038-T22300,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
115,CA59,SP04-ARL_230413_CA59_0190-p1062,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1062-T19264,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
116,CA59,SP04-ARL_230413_CA59_0190-p1088,Theobroma_cacao,,availability,CAFL,,,SP04-ARL_230413_CA59_0190-p1088-T23880,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
117,CA59,SP04-ARL_230413_CA59_0190-p0989,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0989-T20721,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
118,CA59,SP04-ARL_230413_CA59_0190-p0990,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0990-T20722,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
119,CA59,SP04-ARL_230413_CA59_0190-p0991,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0991-T20723,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
